Country Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Lebanon;6713.49483623703;6712.35906386996;6624.74616753559;6517.24803422723;6677.16385249502;6667.69879620518;6684.24141582004;7294.95782793859;7960.89193531969;8687.43331538504;9115.05954382684;8754.1066384791;8434.49660138496;8201.38544588157;7937.90149571415;7643.00871833192;
Liberia;775.963815928538;770.10624408541;780.381491298351;535.863968812504;539.626219004963;553.567558681238;578.137349277606;608.990409728766;626.110554485124;633.610654149846;648.552676748257;679.714646193244;713.06729791504;754.458487625775;740.375959137082;721.581050523128;
Libya;10746.7777697149;10391.7791117045;10128.6671678436;11264.845019823;11582.7579394824;12760.0620520737;13385.7919579557;14010.497849291;13793.9697471147;13025.2419842286;13539.4928825296;6670.34630855248;12386.0326102332;10101.1986451094;7722.66042179725;7590.44298074577;
St. Lucia;9326.87130899919;8926.59501524221;8895.83525018725;9209.45594869904;9799.93262602997;9664.93771382851;10141.4431412292;10173.5995910708;10528.4701594204;10099.2300123778;10151.0464851415;10619.4653367503;10531.2884542985;10148.0988861991;10280.1225701464;10093.6180163617;
Latin America & Caribbean;6744.39079022166;6682.64814616003;6627.21417644273;6707.15264708943;6991.77327719616;7181.82468633519;7453.69953791717;7754.86634048863;7950.86998018916;7703.7427047496;8108.5639942176;8375.56230730175;8495.25035513427;8643.76869697009;8670.77512308793;8629.00960471388;
Least developed countries: UN classification;674.681293719252;692.625000579942;709.214840748358;726.551275904135;753.675213115032;789.702850371295;824.15781917278;863.264859446946;896.904166958788;910.4902630749;944.699256822952;950.497463420887;948.349379635513;978.163901546678;1008.6266105419;1009.42456360179;
Low income;676.914291198554;690.493250890718;700.454192342182;714.446543886747;735.93238493358;761.574136500028;784.24918318579;809.28522220669;829.33812804954;835.294768584054;868.069540625223;850.592068711723;794.845206103734;799.978340352992;813.708857574781;791.710026392794;
Liechtenstein;;;;;;;;;;;;;;;;167313.266280449;
Sri Lanka;1923.41348190133;1880.25894878331;1939.34621781115;2037.28204664417;2130.13895659153;2244.82128829647;2398.43236044443;2542.59355276765;2674.74632084679;2750.20190581777;2950.39072132162;3176.92034126922;3462.936683705;3552.69855853013;3694.30042629703;3843.78067184442;
Lower middle income;1212.95929752536;1241.08252283589;1279.03032458607;1335.21682848668;1399.41535096408;1460.5182174469;1529.67897871789;1608.96306583252;1650.85993113831;1700.87156937001;1785.12860278065;1841.75442598211;1895.27067073354;1959.91418825016;2038.30006334721;2109.33450010224;
Low & middle income;2235.43960435997;2286.74998954885;2362.09663230748;2469.6914642475;2622.94694220932;2775.9636557285;2963.31950143165;3183.3529932792;3326.64715161397;3388.56271726996;3609.57376437282;3785.00330437099;3934.98081026949;4091.96640029038;4236.90265811635;4366.05109904441;
Lesotho;715.008511806352;739.407285715847;746.9263337465;785.425430535475;803.655918406602;835.609783199408;873.662616700719;911.628426714867;961.870049213793;948.359491246538;995.581359028767;1037.24848941823;1096.82845605457;1109.03711752498;1119.77166736673;1146.06468787308;
Late-demographic dividend;3421.83734784373;3573.81857448833;3762.72008013127;3993.36607729023;4292.62431426432;4595.79643222895;4991.02688083034;5467.88373966978;5810.50651903085;5988.86218980268;6432.71966362722;6849.76008931846;7200.03825212363;7553.57689372474;7892.25080787438;8208.05187328732;
Lithuania;6423.42067622444;6899.23683441212;7424.39482424481;8275.80344758031;8919.08174949012;9766.48764716509;10659.4002106998;11984.9232941064;12425.3980999207;10699.7894581629;11106.9502145424;12046.7213858694;12678.6926859879;13262.3344620771;13850.0001271199;14263.9645773495;
